teid,branch_id,DeviceType,from_bus,to_bus,ckt,match_status,unmatched_reason,dam_bucket,problem,suggested_action
279233,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279241,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279246,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279254,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279258,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279263,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279266,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279280,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279285,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279288,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279292,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279299,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279304,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279308,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279312,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279319,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279324,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279330,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279333,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279356,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279366,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279381,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279405,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279406,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279410,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279416,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279423,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279436,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279441,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279451,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279459,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279464,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279478,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279482,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279490,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279496,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279499,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279506,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279507,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279513,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279520,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279525,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279529,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279544,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279551,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279560,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279567,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279569,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279573,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279590,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279603,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279611,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279612,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279640,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279644,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279681,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279706,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279708,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279711,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279712,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279731,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279747,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279762,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279771,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279817,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279820,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279823,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279829,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279830,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279831,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279833,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279856,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279896,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279902,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279922,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279927,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279928,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279934,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279942,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279944,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279964,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279965,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279966,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279967,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
279980,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280006,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280012,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280015,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280021,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280022,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280027,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280039,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280090,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280109,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280127,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280131,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280138,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280141,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280142,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280144,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280183,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280197,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280211,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280223,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280225,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280232,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280247,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280263,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280271,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280272,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280273,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280292,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280308,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280311,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280317,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280328,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280334,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280350,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280355,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280358,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280369,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280380,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280389,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280397,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
280417,,,,,,unmatched,transformer_tertiary_stub,,1a_tertiary_winding_stub (CIM artifact - expected N/A),Accept as N/A or exclude; not in BRANCH by design
