teid,ercotDampsseId,tier,our_op_eqcode,dampsse_name_raw,dampsse_active_in_window,DeviceType,FromName,ToName,Substation1,Substation2,Name
74129,4546,station_pair_leg,LHORN_N_XFMR-T2_H,LHORN_N_T2,True,Transformer,LHORNN_UNIT2,LHORN_N,LHORN_N,LHORN_N,T2 345kV-34.5kV
279293,2588,station_pair_leg,CMNSW_AXFMR1H,CMNSW_MR1H,True,Transformer,COMCHESS1_5,CMNSW1_1,CMNSW,CMNSW,MR1H 345kV-1kV
279502,6198,station_pair,NLARSW_PST1,NLARSW_PS1,True,Transformer,NLARSW4A,NLARSW4B,NLARSW,NLARSW,PS1 138kV-138kV
279218,4652,station_pair_leg,MCSES_AXFMR1H,MCSES_MR1H,True,Transformer,MTCK_1T8,MCSES1_1,MCSES,MCSES,MR1H 138kV-1kV
280447,7793,station_pair_leg,SNDSW_AXFMR1H-H,SNDSW_MR1H,True,Transformer,SAND_TXU_5,SNDSW1_1,SNDSW,SNDSW,MR1H 345kV-1kV
124631,7783,station_pair_leg,SCOSW_AXFMR2L,SCOSW_MR2L,True,Transformer,SCURCNTYS_8,SCURCNTY2_1,SCOSW,SCOSW,MR2L 138kV-1kV
346164,1083,substring_name,BERGHE_AT1L_H,BERGHE_AT1L,True,Transformer,L_BERGHE8_1Y,L_BERGHE1_2Y,BERGHE,BERGHE,AT1L 138kV-1kV
279816,9539,station_pair_leg,WHTNY_WHT1H_H,WHTNY_HT1H,True,Transformer,WHITNEY5,WHTNYSTAR,WHTNY,WHTNY,HT1H 345kV-1kV
41231,2709,station_pair_leg,DOWGEN_XF760,DOWGEN_F760,True,Transformer,DOWGEN_4_8,DOWGEN_5,DOWGEN,DOWGEN,F760 138kV-14.5kV
155001,2663,station_pair_leg,DCSES_AXFMR1H_H,DCSES_MR1H,True,Transformer,DECRDOVA_T5,DCSES1_1,DCSES,DCSES,MR1H 345kV-1kV
148323,7900,station_pair_leg,SHRSW_AXFMR1H_H,SHRSW_MR1H,True,Transformer,SHRYAUTO1_5,SHRSW1_1,SHRSW,SHRSW,MR1H 345kV-1kV
126319,2674,substring_name,DMTSW_AX1HH,DMTSW_AX1H,True,Transformer,DERMOTT_5,DMTSW1_1,DMTSW,DMTSW,AX1H 345kV-1kV
90296,4420,substring_name,KENDAL_AT3L_H,KENDAL_AT3L,True,Transformer,L_KENDAL8_1Y,L_KENDAL1_2,KENDAL,KENDAL,AT3L 138kV-1kV
280321,2928,station_pair_leg,GN_S_I_GNIN_T2L,GN_S_I_XT2L,True,Transformer,GREENV_IN_9,GREENV_IN_2,GN_S_I,GN_S_I,XT2L 69kV-1kV
280322,4473,station_pair_leg,LMESA_AXFMR2_L,LMESA_FMR2,True,Transformer,LAMESA_9,LAMESA_8,LMESA,LMESA,FMR2 69kV-138kV
438336,4516,station_pair_leg,HUTTO_AXFMR2L,HUTTO_MR2L,True,Transformer,HUTTOSS1_8,HOTTO_2,HUTTO,HUTTO,MR2L 138kV-1kV
27504,4629,substring_name_leg,MDO_AT1L_H,MDO_AT1L,True,Transformer,MEADOW_B138A,MEADOW_A1STR,MDO,MDO,AT1L 138kV-1kV
139318,4548,station_pair_leg,LIGSW_AXFMR2H_H,LIGSW_MR2H,True,Transformer,LIGGETT_2T5,LIGSW2_1,LIGSW,LIGSW,MR2H 345kV-1kV
7302,4421,substring_name,KENDAL_AT5L_H,KENDAL_AT5L,True,Transformer,L_KENDAL8_1Y,L_KENDAL1_3,KENDAL,KENDAL,AT5L 138kV-1kV
279274,4262,station_pair,GRSBK_AXFMR1,GRSBK_FMR1,True,Transformer,GROESBECP_9,GROESBECP_8,GRSBK,GRSBK,FMR1 69kV-138kV
280326,1167,station_pair_leg,BNDVS_GABDT1L,BNDVS_DT1L,True,Transformer,BENDAVIS_1_2,BENDAVIS_8,BNDVS,BNDVS,DT1L 138kV-1kV
61149,4543,station_pair_leg,LFKSW_AXFMR1L_H,LFKSW_MR1L,True,Transformer,LUFKNSS_8,LFKSW7_1,LFKSW,LFKSW,MR1L 138kV-1kV
279663,982,station_pair_leg,AMOCOTN_AMOCOT1,AMOCOTN_COT1,True,Transformer,TNAMOCO___1,TNAMOCO___0,AMOCOTN,AMOCOTN,COT1 69kV-138kV
95416,4585,substring_name,MARION_AT2L_H,MARION_AT2L,True,Transformer,L_MARION8_1Y,L_MARION_1Y,MARION,MARION,AT2L 138kV-1kV
280330,6112,station_pair_leg,MGSES_AXFMR2H,MGSES_MR2H,True,Transformer,MRGNCRK_5,700208_3STAR,MGSES,MGSES,MR2H 345kV-1kV
659626,11549,station_pair_leg,CHLD_1_69_1_H,CHLD_XF1H,True,Transformer,WC1DUM,CHLD2A,CHLD,CHLD,XF1L 69kV-1kV
280331,4466,station_pair_leg,LCSES_AXFMR2L,LCSES_MR2L,True,Transformer,LAKE_CRK1_8,LCSES2_1,LCSES,LCSES,MR2L 138kV-1kV
280332,9436,station_pair_leg,VICTORIA_138_69A2_H,VICTORIA_69A2,True,Transformer,VICTORIA2A,VICTORIA4A,VICTORIA,VICTORIA,69A2 69kV-138kV
48830,7981,substring_name,SRWE1_TR1H,SRWE1_TR1,True,Transformer,SRWE1_UNIT1,SRWE1_5,SRWE1,SRWE1,TR1 345kV-34.5kV
329307,7887,station_pair_leg,TCOSW_AXFMR1LH,TCOSW_AX1L,True,Transformer,TOCO_9,TOCO_1,TCOSW,TCOSW,AX1L 69kV-1kV
126307,4277,station_pair_leg,HKBRY_AXFMR3H_H,HKBRY_MR3H,True,Transformer,HACKBRY1_5,HKBRY3_1,HKBRY,HKBRY,MR3H 345kV-1kV
279115,2923,station_pair_leg,GIBCRK_GCSWT3L,GIBCRK_FM3L,True,Transformer,GIBN_CRK_1_1,GIBN_CREK_8,GIBCRK,GIBCRK,FM3L 138kV-1kV
279413,7984,station_pair,STERT_AXFMR1,STERT_FMR1,True,Transformer,MG_IND_T8,STERRETT1_9,STERT,STERT,FMR1 69kV-138kV
280335,7647,station_pair_ckt,RIOPECOS_138_69_1_H,RIOPECOS_69_2,True,Transformer,RIOPECOS4A,RIOPECOS2A,RIOPECOS,RIOPECOS,69-1 69kV-138kV
279783,9432,station_pair_ckt,YELWJCKT_138_69_2_H,YELWJCKT_69T1,True,Transformer,YELWJCKT4A,YELWJCKT2A,YELWJCKT,YELWJCKT,69T2 69kV-138kV
279321,9453,station_pair_leg,WTRML_AXFMR1L,WTRML_MR1L,True,Transformer,WATMLL_W8,WTRML1_1,WTRML,WTRML,MR1L 138kV-1kV
368367,7914,station_pair_leg,STNSW_AXFMR1LH,STNSW_AX1L,True,Transformer,STONCRK_9,STONE_1,STNSW,STNSW,AX1L 69kV-1kV
280336,2637,substring_name,DANSBY_T1_H,DANSBY_T1,True,Transformer,BRYN_DSBY69,DAN_DANSBYG1,DANSBY,DANSBY,T1 69kV-13.8kV
125352,6094,station_pair_leg,NCARBIDE_138_69A2_H,NCARBIDE_69A2,True,Transformer,NCARBIDE2B,NCARBIDE4B,NCARBIDE,NCARBIDE,69A2 138kV-69kV
443804,9541,substring_name,WINCHES_AT2L_H,WINCHES_AT2L,True,Transformer,L_WINCHE8_1Y,L_WINCHE3_1Y,WINCHES,WINCHES,AT2L 138kV-1kV
84214,7652,substring_name,RSNAKE_T1_H,RSNAKE_T1,True,Transformer,RSNAKE_5,RSNAKE_G1,RSNAKE,RSNAKE,T1 345kV-34.5kV
429039,7777,substring_name,RVRSW_AX1LH,RVRSW_AX1L,True,Transformer,RIVERTON_8,RVRSW_2A,RVRSW,RVRSW,AX1L 138kV-1kV
280010,2750,substring_name,DT_AT1H_H,DT_AT1,True,Transformer,DWNTWN__B138,DWNTWN_A1STR,DT,DT,AT1H 138kV-1kV
280341,2807,station_pair_leg,FOX_AXFMR2,FOX_FMR2,True,Transformer,FOX8,FOX9,FOX,FOX,FMR2 69kV-138kV
326920,9489,substring_name,ZEN_AT2H_H,ZEN_AT2,True,Transformer,ZENITH__B345,ZENITH_A2STR,ZEN,ZEN,AT2H 345kV-1kV
441596,7978,substring_name,SLKSW_AX2LH,SLKSW_AX2L,True,Transformer,SANDLAKE_8,SANDLK_A_2,SLKSW,SLKSW,AX2L 138kV-1kV
132781,1033,station_pair_leg,CBFSW_AXFMR1LH,CBFSW_MR1L,True,Transformer,CENTBLUF_8,CENTBLUF_1,CBFSW,CBFSW,MR1L 138kV-1kV
279397,973,station_pair_leg,ABNTHWST_138_69T1,ABNTHWST_69T1,True,Transformer,ABNTHWST2A,ABNTHWST4B,ABNTHWST,ABNTHWST,69T1 69kV-138kV
313506,1226,substring_name,CLEASP_AT2L_H,CLEASP_AT2L,True,Transformer,L_CLEASP8_1Y,L_CLEASP1_2Z,CLEASP,CLEASP,AT2L 138kV-1kV
320410,9553,substring_name,YUCSW_MR1LH,YUCSW_MR1L,True,Transformer,YUCCADR_9,YUCSW1_1,YUCSW,YUCSW,MR1L 69kV-1kV
279818,9376,station_pair_leg,WHTNY_AXFMR2H_H,WHTNY_MR2H,True,Transformer,WHITNEY5,WHITNYSTR,WHTNY,WHTNY,MR2H 345kV-1kV
408997,7820,station_pair,SGSA_138_69_2_H,SGSA_A2,True,Transformer,SGSA4A,SGSA2A,SGSA,SGSA,A2 138kV-69kV
279705,8019,substring_name,SMITHV_AT3H,SMITHV_AT3,True,Transformer,L_SMITHV8_1Y,L_SMITHV9_1Y,SMITHV,SMITHV,AT3 69kV-138kV
69336,1224,substring_name,CEDRHILL_T1_H,CEDRHILL_T1,True,Transformer,CEDRHILL4A,CEDRHILL2A,CEDRHILL,CEDRHILL,T1 138kV-69kV
279472,976,substring_name,AK_AKXT01_H,AK_XT01,True,Transformer,_AK_1_8,_AK__AK_G1,AK,AK,XT01 138kV-13.8kV
280347,7778,station_pair_leg,RYSSW_AXFMR3,RYSSW_FMR3,True,Transformer,ROYSE1_8,ROYSE3_5,RYSSW,RYSSW,FMR3 345kV-138kV
279104,6047,station_pair_leg,MLSES_AXFMR1L,MLSES_MR1L,True,Transformer,MRTINLK_1T8,MLSES1_1,MLSES,MLSES,MR1L 138kV-1kV
61378,9332,station_pair_leg,VENSW_AXFMR1H_H,VENSW_MR1H,True,Transformer,VENUS_N5,VENSW1_1,VENSW,VENSW,MR1H 345kV-1kV
279481,1278,substring_name_leg,BI_AT5L_H,BI_AT5L,True,Transformer,BELAIR_B138B,BELAIR_A5STR,BI,BI,AT5L 138kV-1kV
279310,4412,station_pair_leg,HLSES_AXFMR1L,HLSES_MR1L,True,Transformer,HANDLEY_9,HLSES1_1,HLSES,HLSES,MR1L 69kV-1kV
279639,5931,station_pair_leg,LYTTON_S_LY_AT1H,LYTTON_S_AT1H,True,Transformer,LYTTON34,LYTTON1_1KV,LYTTON_S,LYTTON_S,AT1H 345kV-1kV
358995,1126,station_pair_ckt,BTTSW_AXFMR1_HISIDE,BTTSW_FMR1,True,Transformer,BURNETTSW_8,BURNETTSW_9,BTTSW,BTTSW,FMR1 138kV-69kV
279071,9496,station_pair_leg,TYGND_AXFMR1H_H,TYGND_MR1H,True,Transformer,TYLERGND_5,TYGND1_1,TYGND,TYGND,MR1H 345kV-1kV
279426,1167,station_pair_leg,BNDVS_GABDT2L,BNDVS_DT1L,True,Transformer,BENDAVIS_1_1,BENDAVIS_8,BNDVS,BNDVS,GABL 138kV-1kV
87084,2528,substring_name_leg,CLEASP_AT1L_H,CLEASP_AT1L,True,Transformer,L_CLEASP8_1Y,L_CLEASP1_1Z,CLEASP,CLEASP,AT1L 138kV-1kV
363677,6231,substring_name,OB_AT2H_H,OB_AT2,True,Transformer,OBRIEN_B345A,OBRIEN_2ASTR,OB,OB,AT2H 345kV-1kV
279377,1060,station_pair_ckt,BRAZORIA_BRAZOAT1,BRAZORIA_OAT1,True,Transformer,TNBRAZORIA1,TNBRAZORIA0,BRAZORIA,BRAZORIA,OAT1 69kV-138kV
279387,4301,substring_name,GILLES_AT1H,GILLES_AT1,True,Transformer,L_GILLES8_1Y,L_GILLES9_1Y,GILLES,GILLES,AT1 69kV-138kV
96882,4588,substring_name,MCNSW_MR1LC,MCNSW_MR1L,True,Transformer,MIDCONW_8,MIDCONW_1,MCNSW,MCNSW,MR1L 138kV-1kV
352495,7953,substring_name,THW_AT3_H,THW_AT3,True,Transformer,T_H_W__POI_5,T_H_W__A3STR,THW,THW,AT3 345kV-1kV
279707,4384,station_pair_leg,HILLCTRY_AXFMR4L-H,HILLCTRY_MR4L,True,Transformer,HILLCTY4_8,HC_STAR4,HILLCTRY,HILLCTRY,MR4L 138kV-1kV
279577,7842,station_pair,TABOR_TR033,TABOR_R033,True,Transformer,BRYN_TABOR69,BRYN_TABR138,TABOR,TABOR,R033 69kV-138kV
379937,10785,substring_name,ALTAIR_AT2T_H,ALTAIR_AT2T,True,Transformer,L_ALTAIR9_1Y,L_ALTAIR8_1Y,ALTAIR,ALTAIR,AT2T 138kV-69kV
279004,9499,station_pair_leg,VALERO_XF_1_69,VALERO_1_69,True,Transformer,VALERO2A,VAL_VALEROG1,VALERO,VALERO,1_69 13.8kV-69kV
131895,9382,station_pair_leg,WLVEE_AXFMR1H_H,WLVEE_MR1H,True,Transformer,WLEVEE1_5,WLVEE1_1,WLVEE,WLVEE,MR1H 345kV-1kV
279517,4664,substring_name_leg,LEG_AT1L_H,LEG_AT1L,True,Transformer,LIMEST__B138,49168_STAR,LEG,LEG,AT1L 138kV-1kV
410507,1088,substring_name,BLSUMIT3_T1_H,BLSUMIT3_T1,True,Transformer,BLSMTIII_W2,BLSMTIII_5,BLSUMIT3,BLSUMIT3,T1 345kV-34.5kV
863988,13300,substring_name,FRONTERA_XFH2_H,FRONTERA_XFH2,True,Transformer,FRONTERA0C,FRONTERA7A,FRONTERA,FRONTERA,XFH2 345kV-1kV
96909,6017,substring_name,MCNSW_MR1HH,MCNSW_MR1H,True,Transformer,MIDCONW_5,MIDCONW_1,MCNSW,MCNSW,MR1H 345kV-1kV
280442,9280,substring_name,TC_010A_H,TC_010A,True,Transformer,TC_TCHP1,TECO___POI_8,TC,TC,010A 138kV-13.8kV
280357,1001,station_pair_leg,AUSTRO_AU_AT2L,AUSTRO_AT2L,True,Transformer,AUSTROP,AUSTRO2_1KV,AUSTRO,AUSTRO,AT2L 138kV-1kV
280448,7906,station_pair_leg,SKYLINE_AXFMR4L_H,SKYLINE_MR4L,True,Transformer,SKYSTAR4,SKYLIN4_8,SKYLINE,SKYLINE,MR4L 138kV-1kV
60992,4430,station_pair_leg,LFKSW_AXFMR1H_H,LFKSW_MR1H,True,Transformer,LUFKNSS_5,LFKSW7_1,LFKSW,LFKSW,MR1H 345kV-1kV
279466,909,station_pair,BELCNTY_138_69_1,BELCNTY_XFMR,True,Transformer,BELLCNTY8,BELLCNTY9,BELCNTY,BELCNTY,XFMR 69kV-138kV
123345,7655,substring_name,SALTFORK_T1_H,SALTFORK_T1,True,Transformer,SALT_UNIT1,SALT_FORK_5,SALTFORK,SALTFORK,T1 345kV-34.5kV
279614,7823,station_pair_leg,SKYLINE_AXFMR2H,SKYLINE_MR2H,True,Transformer,SKYSTAR2,SKYLINE_5,SKYLINE,SKYLINE,MR2H 345kV-1kV
73802,4639,station_pair_leg,LHORN_N_XFMR-T1_H,LHORN_N_T1,True,Transformer,LHORNN_UNIT1,LHORN_N,LHORN_N,LHORN_N,T1 345kV-34.5kV
422439,4364,substring_name,JCK_AT3H_H,JCK_AT3,True,Transformer,JONCRK__B345,JONCRK_A3STR,JCK,JCK,AT3H 345kV-1kV
94510,9456,substring_name,ZEN_AT1H_H,ZEN_AT1,True,Transformer,ZENITH__B345,ZENITH_A1STR,ZEN,ZEN,AT1H 345kV-1kV
280363,2633,station_pair,CS_TRRT1_H,CS_TRT1,True,Transformer,CROSBY_B138A,CROSBY_RT1_1,CS,CS,TRT1 34.5kV-138kV
279229,13214,station_pair_leg,TMPSW_AXFMR2,TMPSW_MR2H,True,Transformer,TEMP_SS__8,TEMP_SS__9,TMPSW,TMPSW,FMR2 69kV-138kV
354809,6279,substring_name,PHR_AT3H_H,PHR_AT3,True,Transformer,P_H_R___B345,P_H_R__A3STR,PHR,PHR,AT3H 345kV-1kV
76988,9327,substring_name,TWINBU_AT2H_H,TWINBU_AT2H,True,Transformer,L_TWINBU5_1Y,L_TWINBU1_2Z,TWINBU,TWINBU,AT2H 345kV-1kV
429041,7738,substring_name,RVRSW_AX2HH,RVRSW_AX2H,True,Transformer,RIVERTON_5,RVRSW_1A,RVRSW,RVRSW,AX2H 345kV-1kV
718554,12207,station_pair_leg,EXCSW_AXFMR1L,EXCSW_MR1L,True,Transformer,EXCHANGE1_8,EXCHANGE1_T,EXCSW,EXCSW,MR1L 138kV-1kV
438355,7692,station_pair_leg,SARRD_AXFMR2L-H,SARRD_MR2L,True,Transformer,SARGT_N8,SARRD2_1,SARRD,SARRD,MR2L 138kV-1kV
279240,6336,station_pair_leg,RENSW_AXFMR2H,RENSW_MR2H,True,Transformer,RNRTPL1_5,RENSW2_1,RENSW,RENSW,MR2H 345kV-1kV
279512,4467,substring_name,LEG_AT2H_H,LEG_AT2,True,Transformer,LIMEST_POI_5,49169_STAR,LEG,LEG,AT2H 345kV-1kV
313556,6200,substring_name,NORTMC_AT1H_H,NORTMC_AT1H,True,Transformer,L_NORTMC5_1Y,LNORSTR1,NORTMC,NORTMC,AT1H 345kV-1kV
280365,9404,station_pair_leg,W_DENT_XFT1H,W_DENT_T1H,True,Transformer,W_DENT_5,W_DENT_2,W_DENT,W_DENT,T1H 345kV-1kV
300172,6154,substring_name,NADAS_AT1H,NADAS_AT1,True,Transformer,L_NADA8_1Y,NADASUB9,NADAS,NADAS,AT1 138kV-69kV
61856,6134,station_pair_leg,ODEHV_AXFMR3H,ODEHV_MR3H,True,Transformer,ODEHV3T_5,ODEHV3_1,ODEHV,ODEHV,MR3H 345kV-1kV
681446,11779,station_pair_leg,TEASW_AXFMR1H,TEASW_MR1H,True,Transformer,TEASW_1_1,TEAL_88,TEASW,TEASW,MR1H 345kV-1kV
279434,2622,station_pair_leg,CNRSW_AXFMR1L,CNRSW_MR1L,True,Transformer,CNVLSW_E8,CNRSW1_1,CNRSW,CNRSW,MR1L 138kV-1kV
153623,7729,station_pair_leg,SHRSW_AXFMR2H_H,SHRSW_MR2H,True,Transformer,SHRYAUTO2_5,SHRSW2_1,SHRSW,SHRSW,MR2H 345kV-1kV
603131,1266,station_pair_leg,CONSW_AXFMR1L,CONSW_MR1L,True,Transformer,CONSAVVY_8,CONSW_AUTO1,CONSW,CONSW,MR1L 138kV-1kV
279587,4377,station_pair_leg,GRSES_AXFMR1H,GRSES_MR1H,True,Transformer,GRHAMSES1_5,GRSES1_1,GRSES,GRSES,MR1H 345kV-1kV
279051,2831,station_pair_leg,ELMOT_AXFMR2LH,ELMOT_MR2L,True,Transformer,ELM_MOTT__8,ELMOT1_1,ELMOT,ELMOT,MR2L 138kV-1kV
51782,6024,station_pair,MILLSW_XFMR1,MILLSW_FMR1,True,Transformer,MILL_SW138,MILL_SW69,MILLSW,MILLSW,FMR1 138kV-69kV
257871,5974,station_pair,LYTLE2_138_69_1_H,LYTLE2_AUT1,True,Transformer,LYTLE4A,LYTLE2A,LYTLE2,LYTLE2,AUT1 138kV-69kV
279501,2544,substring_name,CBY_AT3H_H,CBY_AT3,True,Transformer,CEDARP_B345A,CEDARP_A3STR,CBY,CBY,AT3H 345kV-1kV
279463,2631,station_pair_leg,CRLNW_AXFMR1L-H,CRLNW_MR1L,True,Transformer,CRLTN_NW1_8,CRLNW1_1,CRLNW,CRLNW,MR1L 138kV-1kV
273492,2616,station_pair,CHOATE_HIGH,CHOATE_CHOT,True,Transformer,CHOATESUB9,CHOATESUB8,CHOATE,CHOATE,CHOT 138kV-69kV
279249,1174,station_pair,BRNWD_AXFMR1,BRNWD_FMR1,True,Transformer,BRNWD1_8,BRNWD1_9,BRNWD,BRNWD,FMR1 69kV-138kV
279726,1039,station_pair_leg,AUSTRO_AU_AT1L,AUSTRO_AT1L,True,Transformer,AUSTROP,AUSTRO1_1KV,AUSTRO,AUSTRO,AT1L 138kV-1kV
280381,1106,station_pair_leg,CAGNON_AXFMR4L-H,CAGNON_MR4L,True,Transformer,CAGNON3_8,CAGSTAR4,CAGNON,CAGNON,MR4L 138kV-1kV
334577,4407,substring_name,HICKMAN_T1_H,HICKMAN_T1,True,Transformer,SANTRITA_G1,SANTRITA_5,HICKMAN,HICKMAN,T1 345kV-34.5kV
280384,8024,station_pair_leg,SPUNKY_SPUNKY2,SPUNKY_FMR2,True,Transformer,SPUNKY8,SPUNKY2,SPUNKY,SPUNKY,FMR2 69kV-138kV
119137,1090,station_pair_leg,BNBSW_AXFMR2H_H,BNBSW_MR2H,True,Transformer,BENBRK_B_T5,BNBSW2_1,BNBSW,BNBSW,MR2H 345kV-1kV
313488,2617,substring_name,CLEASP_AT2H_H,CLEASP_AT2H,True,Transformer,L_CLEASP5_1Y,L_CLEASP1_2Z,CLEASP,CLEASP,AT2H 345kV-1kV
88076,1086,substring_name_leg,BI_AT4L_H,BI_AT4L,True,Transformer,BELAIR_B138A,BELAIR_A4STR,BI,BI,AT4L 138kV-1kV
280387,2924,station_pair_leg,GIBCRK_GCSWT1L,GIBCRK_WT1L,True,Transformer,GIBN_CREK_8,GIBN_CRK_1_2,GIBCRK,GIBCRK,WT1L 138kV-1kV
279315,2864,station_pair_leg,EMSES_AXFMR1L,EMSES_MR1L,True,Transformer,EAGLEMNT1_T8,EMSES1_1,EMSES,EMSES,MR1L 138kV-1kV
603092,2625,station_pair_leg,CONSW_AXFMR2H,CONSW_MR2H,True,Transformer,CONSAVVY_5,CONSW_AUTO2,CONSW,CONSW,MR2H 345kV-1kV
279717,4302,substring_name,GLIDDE_AT1H,GLIDDE_AT1,True,Transformer,L_GLIDDE9_1Y,L_GLIDDE8_1Y,GLIDDE,GLIDDE,AT1 69kV-138kV
6084,2705,substring_name,DIGBY_T2H,DIGBY_T2,True,Transformer,ELECTRA_5,ELECTRA_2,DIGBY,DIGBY,T2 345kV-34.5kV
279358,4496,station_pair_leg,LAREDO_138_69A2H,LAREDO_A2-H,True,Transformer,LD1DUM,LAREDO4A,LAREDO,LAREDO,A2-H 138kV-1kV
279139,9310,station_pair,WICKT_AXFMR1,WICKT_FMR1,True,Transformer,WICKETT_9,WICKETT_8,WICKT,WICKT,FMR1 69kV-138kV
280068,4224,substring_name_leg,GBY_AT5H_H,GBY_AT5H,True,Transformer,GRNBYU__B138,GRNBYU_A5STR,GBY,GBY,AT5H 138kV-1kV
443803,9450,substring_name,WINCHES_AT2H_H,WINCHES_AT2H,True,Transformer,L_WINCHE5_1Y,L_WINCHE3_1Y,WINCHES,WINCHES,AT2H 345kV-1kV
279290,7785,station_pair_leg,SGVSW_AXFMR2L,SGVSW_MR2L,True,Transformer,SGVLSW1_8,SGVSW2_1,SGVSW,SGVSW,MR2L 138kV-1kV
370247,1271,station_pair_leg,CRSCN_AXFMR1H_H,CRSCN_XF1H,True,Transformer,CORS1_8,CRSCN1_1,CRSCN,CRSCN,XF1H 138kV-1kV
364058,7990,substring_name,TAHOKA_T2_H,TAHOKA_T2,True,Transformer,TAHOKAW_5,TAHOKAW_32,TAHOKA,TAHOKA,T2 345kV-34.5kV
280393,7923,substring_name,THW_AT2H_H,THW_AT2,True,Transformer,T_H_W___B138,T_H_W__A2STR,THW,THW,AT2H 138kV-1kV
279057,9323,station_pair_leg,TRSES_AXFMR6L,TRSES_MR6L,True,Transformer,TRINIDAD_8,TRSES6_1,TRSES,TRSES,MR6L 138kV-1kV
53948,7592,substring_name,RUSTHILL_T1_H,RUSTHILL_T1,True,Transformer,RUSTHILL2A,RUSTHILL4A,RUSTHILL,RUSTHILL,T1 138kV-69kV
720715,12225,station_pair_leg,RCKSW_AXFMR2H,RCKSW_MR2H,True,Transformer,ROCKHOUND_5,ROCKHOUND2_T,RCKSW,RCKSW,MR2H 345kV-1kV
278972,4435,station_pair,LMRBL_AXFMR2,LMRBL_FMR2,True,Transformer,LAMARBM1_8,LAMARBM1_9,LMRBL,LMRBL,FMR2 69kV-138kV
279468,7649,station_pair_leg,RNKSW_AXFMR1H,RNKSW_MR1H,True,Transformer,ROANOKE1_5,RNKSW1_1,RNKSW,RNKSW,MR1H 345kV-1kV
320668,4614,substring_name_leg,LYTTON_S_AT3L_L,LYTTON_S_AT3L,True,Transformer,LYTTON13,L_LYTTSP1_1Y,LYTTON_S,LYTTON_S,AT3L 138kV-1kV
318769,4336,substring_name,GILLCR_AT2L_H,GILLCR_AT2L,True,Transformer,L_GILLCR8_1Y,L_GILLCR1_2Z,GILLCR,GILLCR,AT2L 138kV-1kV
60976,8005,station_pair_leg,TMPCR_AXFMR1L_H,TMPCR_MR1L,True,Transformer,TEMP_PEC__8,TMPCR1_1,TMPCR,TMPCR,MR1L 138kV-1kV
2061,13516,substring_name_leg,720__H,720__H,False,Line,CRLTN1_8,MONETY2_8,REDGATE,REDGATE,GS1X 13.8kV-1kV
279078,7894,station_pair_leg,SCSES_AXFMR1H,SCSES_MR1H,True,Transformer,STRYKER_5,SCSES1_1,SCSES,SCSES,MR1H 345kV-1kV
313621,6058,substring_name,NORTMC_AT2H_H,NORTMC_AT2H,True,Transformer,L_NORTMC5_1Y,LNORSTR2,NORTMC,NORTMC,AT2H 345kV-1kV
280399,4534,station_pair_leg,KOCH_UP_138_69A1,KOCH_UP_69A1,True,Transformer,KOCH_UP4A,KOCH_UP2A,KOCH_UP,KOCH_UP,69A1 69kV-138kV
